Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-21,49.62576675765588,49.76025334452055,49.15506003914491,49.327972412109375,2037000,0.0,0
2017-02-22,49.2895533099939,49.68340848043301,49.17427594463254,49.3183708190918,1632400,0.0,0
2017-02-23,49.41442757755763,49.568127054296355,49.18388019469183,49.4432487487793,1006900,0.0,0
2017-02-24,49.356800480408175,49.78908147322071,49.3087700733146,49.7026252746582,1612700,0.0,0
2017-02-27,49.702625967554155,49.8947475986068,49.43364908800705,49.62577438354492,1195100,0.0,0
2017-02-28,49.49129504018667,49.61617705028885,49.21271350399173,49.27995681762695,1417800,0.0,0
2017-03-01,49.587343136893104,50.202141083397834,49.587343136893104,49.990806579589844,2026600,0.0,0
2017-03-02,49.99080324809291,50.02922903330988,49.30876205067225,49.35679244995117,1706400,0.0,0
2017-03-03,49.356801902599635,49.990812822165005,49.135859092014684,49.93317413330078,1824400,0.0,0
2017-03-06,49.60655679566128,49.779469178842454,49.1646712228582,49.23191452026367,1883700,0.0,0
2017-03-07,49.04940547108933,49.42404780720078,48.85728016258756,49.19349670410156,2233600,0.0,0
2017-03-08,49.24152522522015,49.539319625192846,48.943734489732776,49.3856201171875,1517600,0.0,0
2017-03-09,49.39522646645398,49.548929644337946,49.11664861775293,49.40483474731445,1259400,0.0,0
2017-03-10,49.654588261797805,50.29820740507961,49.45285836526311,50.09647750854492,1860500,0.0,0
2017-03-13,50.086868264392336,50.39426724304458,49.942777054421846,50.38466262817383,1376200,0.0,0
2017-03-14,50.1637220493098,50.20214417496886,49.91395807785816,50.15411376953125,1203400,0.0,0
2017-03-15,51.210806759071936,52.661345687200765,50.932225245989,51.969696044921875,4118000,0.0,0
2017-03-16,51.32607819898563,51.92166332867769,50.74970596566883,50.96104049682617,2676900,0.0,0
2017-03-17,50.97064068635974,51.42213085381202,50.83615043308138,51.21079635620117,1936900,0.0,0
2017-03-20,51.21079404916962,51.51819299955964,50.9129997127673,51.05709457397461,1221400,0.0,0
2017-03-21,51.18197263982311,51.614253556946856,50.41347526742785,50.586387634277344,1492700,0.0,0
2017-03-22,50.71127948297419,51.36450329290472,50.57679287466237,51.03789138793945,1257100,0.0,0
2017-03-23,50.95143182707216,51.66229061397302,50.644032838495846,51.08591842651367,1717900,0.0,0
2017-03-24,51.92166216890023,51.92166216890023,50.75930944779991,50.98986053466797,2015300,0.0,0
2017-03-27,50.52875684383656,51.23961931455842,50.35584444999841,51.143558502197266,1446500,0.0,0
2017-03-28,51.19158688773181,51.49898587253589,51.00906622117098,51.33567810058594,1312700,0.0,0
2017-03-29,51.162768771356205,51.31646827294421,50.70167026659217,51.028282165527344,1469900,0.0,0
2017-03-30,51.03789617453655,51.32608231430166,50.81695334523378,51.22041320800781,1627400,0.0,0
2017-03-31,51.10677523848469,51.260856193579926,50.85639506404733,50.9141731262207,1705600,0.132,0
2017-04-03,50.94306659011366,51.2415963786712,50.77935350649648,51.23196792602539,1550200,0.0,0
2017-04-04,51.23196183785211,51.270482991017275,50.5385957751966,50.67341613769531,2017100,0.0,0
2017-04-05,50.76972963075605,51.25123312520987,50.75046905014829,50.76009750366211,1778300,0.0,0
2017-04-06,50.750457407435796,51.26084981892158,50.3267320784324,51.18381118774414,1548200,0.0,0
2017-04-07,51.10677173730782,51.10677173730782,50.75046024185615,50.88528060913086,1243600,0.0,0
2017-04-10,50.9430673383696,51.28974674240785,50.73120464125191,50.76972579956055,1025200,0.0,0
2017-04-11,50.750456592106396,50.94305867732467,50.43266260045936,50.875648498535156,1520700,0.0,0
2017-04-12,50.89490409122105,51.068245596099196,50.528964179659745,50.60600280761719,1258200,0.0,0
2017-04-13,50.49044899499402,50.788982438355134,50.37488920261341,50.39414978027344,864000,0.0,0
2017-04-17,50.683055557224655,51.723101127314855,50.49045343725836,51.48234939575195,1569200,0.0,0
2017-04-18,51.05862411126042,51.617166179287395,50.73120163221716,51.06825256347656,1241000,0.0,0
2017-04-19,51.37641795448623,51.443828145317255,50.99121738882034,51.10677719116211,2095700,0.0,0
2017-04-20,51.357149041144126,51.42455921621426,50.83712454182107,51.164546966552734,1570000,0.0,0
2017-04-21,51.28973768734516,51.41492959295604,50.88527661725044,51.29936981201172,2189400,0.0,0
2017-04-24,51.934954597049256,52.51275718068446,51.91569402111752,52.42608642578125,2257700,0.0,0
