date,usd_zar
2026-03-20,16.8859
2026-03-23,16.8109
2026-03-24,17.1019
2026-03-25,16.9135
2026-03-26,17.0577
2026-03-27,17.1906
2026-03-30,17.1845
2026-03-31,17.07
2026-04-01,16.7811
2026-04-02,17.0118
2026-04-07,16.8895
2026-04-08,16.3104
2026-04-09,16.4321
2026-04-10,16.4281
2026-04-13,16.591
2026-04-14,16.3525
2026-04-15,16.4149
2026-04-16,16.3848
2026-04-17,16.3849
2026-04-20,16.3499
2026-04-21,16.3695
2026-04-22,16.4689
